               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.056397,            0.027842,           0.0048612,             0.61266,             0.74565,             0.70261,              0.2926,            0.052268,               0.019,           0.0029603,           0.0027825,           0.0027825,            0.062083
                 102,             0.05489,            0.025252,           0.0048236,             0.65814,              0.7518,             0.76475,             0.32201,            0.055619,            0.018749,           0.0029155,           0.0027876,           0.0027876,            0.061688
                 103,            0.056611,            0.025464,           0.0035108,             0.59099,             0.78935,             0.71046,             0.23765,            0.057879,             0.01885,           0.0029042,           0.0027922,           0.0027922,            0.061292
                 104,            0.059914,            0.031221,           0.0037395,             0.72718,             0.67747,              0.7356,             0.26022,            0.056169,            0.018812,           0.0028982,           0.0027963,           0.0027963,            0.060896
                 105,             0.05821,            0.027971,           0.0042109,             0.82207,             0.75886,             0.85129,             0.35562,            0.048632,            0.019084,           0.0029223,           0.0027999,           0.0027999,              0.0605
                 106,            0.055901,            0.027105,           0.0042431,             0.65406,             0.77029,             0.71921,             0.26279,            0.058536,            0.018947,           0.0029353,           0.0028029,           0.0028029,            0.060103
                 107,            0.055999,            0.027069,           0.0037443,             0.63181,             0.77652,             0.75942,              0.2884,            0.053171,            0.018768,           0.0028967,           0.0028055,           0.0028055,            0.059705
                 108,            0.056693,            0.025052,           0.0055546,             0.78668,             0.80022,             0.84867,             0.35148,            0.047653,            0.018973,           0.0030188,           0.0028075,           0.0028075,            0.059308
                 109,            0.047801,            0.023214,           0.0044223,             0.82389,              0.8151,             0.84593,             0.36987,            0.045753,            0.018927,           0.0029189,            0.002809,            0.002809,            0.058909
                 110,            0.051722,            0.023438,           0.0049899,             0.71959,             0.79525,             0.79146,              0.3651,             0.04843,             0.01871,           0.0029136,             0.00281,             0.00281,             0.05851
                 111,            0.053472,            0.020501,           0.0041027,             0.52768,             0.87233,              0.6446,             0.20598,            0.057201,            0.018836,           0.0028616,           0.0028106,           0.0028106,            0.058111
                 112,            0.058276,            0.027701,           0.0062503,             0.71415,               0.879,             0.85007,             0.35049,            0.046989,            0.018631,           0.0027799,           0.0028106,           0.0028106,            0.057711
                 113,            0.048339,            0.024259,           0.0042688,             0.68608,             0.92158,             0.81311,             0.37733,            0.044657,            0.018649,           0.0027099,           0.0028101,           0.0028101,             0.05731
                 114,            0.050001,            0.023319,           0.0042286,             0.64131,             0.71414,             0.70902,             0.30135,            0.050525,            0.018247,           0.0026619,           0.0028091,           0.0028091,            0.056909
                 115,            0.050656,            0.030534,           0.0036028,             0.56547,             0.79567,             0.70932,             0.28491,            0.052821,             0.01846,           0.0026418,           0.0028076,           0.0028076,            0.056508
                 116,            0.056649,            0.033684,           0.0045441,             0.73001,             0.78718,             0.82644,             0.40483,            0.050814,            0.018424,           0.0026584,           0.0028057,           0.0028057,            0.056106
                 117,            0.052726,            0.027334,           0.0039885,             0.73481,             0.75526,             0.81214,             0.36719,            0.048202,            0.018555,           0.0027192,           0.0028032,           0.0028032,            0.055703
                 118,            0.057343,            0.027226,           0.0033352,               0.616,             0.83081,             0.74059,             0.30632,            0.057854,            0.018574,           0.0027964,           0.0028003,           0.0028003,              0.0553
                 119,             0.06089,            0.021467,           0.0040468,             0.82235,             0.73548,             0.85603,             0.35473,            0.052342,            0.018284,           0.0027751,           0.0027969,           0.0027969,            0.054897
                 120,            0.057976,            0.031002,           0.0047323,             0.75119,             0.87577,             0.88136,             0.42273,            0.047369,             0.01828,            0.002792,            0.002793,            0.002793,            0.054493
                 121,            0.052601,            0.024047,           0.0038988,             0.66483,              0.8364,              0.7879,              0.3298,            0.049429,            0.018196,           0.0028043,           0.0027886,           0.0027886,            0.054089
                 122,            0.047736,            0.024578,           0.0038379,             0.77767,             0.93534,             0.93377,             0.47706,            0.042361,            0.018158,           0.0027831,           0.0027838,           0.0027838,            0.053684
                 123,             0.04805,            0.022273,           0.0035807,             0.70589,             0.87142,             0.82833,             0.36102,            0.046268,            0.018144,           0.0027402,           0.0027785,           0.0027785,            0.053278
                 124,            0.052602,            0.026594,           0.0037237,             0.70055,             0.77779,             0.78158,             0.32284,            0.052961,            0.018355,           0.0027363,           0.0027727,           0.0027727,            0.052873
                 125,            0.050739,            0.024991,           0.0045515,             0.60496,             0.83929,             0.75809,             0.24415,            0.051661,            0.018008,           0.0027265,           0.0027665,           0.0027665,            0.052466
                 126,            0.064098,            0.029649,           0.0036472,             0.42472,             0.59919,             0.49714,             0.16088,            0.061866,            0.017445,           0.0027819,           0.0027598,           0.0027598,             0.05206
                 127,            0.065352,            0.025024,           0.0040897,             0.45532,             0.70861,             0.59902,             0.22455,            0.059828,            0.017613,           0.0028385,           0.0027527,           0.0027527,            0.051653
                 128,            0.063835,            0.021354,           0.0042999,             0.64141,             0.66639,             0.67556,             0.28155,            0.054027,            0.018096,           0.0029109,           0.0027452,           0.0027452,            0.051245
                 129,             0.05917,            0.026163,           0.0041963,             0.53424,             0.72407,             0.61719,             0.24617,             0.05924,             0.01756,           0.0028493,           0.0027372,           0.0027372,            0.050837
                 130,            0.058312,            0.021922,           0.0036994,             0.79279,             0.82912,             0.86524,             0.45739,            0.049429,            0.017692,           0.0028356,           0.0027287,           0.0027287,            0.050429
                 131,            0.053591,            0.019604,           0.0051288,             0.86021,             0.88468,             0.91664,             0.49045,            0.046787,            0.017522,           0.0027182,           0.0027199,           0.0027199,             0.05002
                 132,            0.054183,            0.025357,           0.0037397,             0.74857,             0.73478,             0.80329,             0.34608,            0.061265,            0.017549,           0.0026659,           0.0027106,           0.0027106,            0.049611
                 133,            0.059211,            0.020653,           0.0035488,             0.84131,             0.89653,             0.92788,             0.48401,            0.050691,            0.017658,            0.002725,           0.0027009,           0.0027009,            0.049201
                 134,             0.04655,            0.024703,           0.0034274,              0.9104,             0.94543,             0.96437,             0.51735,            0.040763,            0.017887,           0.0027071,           0.0026908,           0.0026908,            0.048791
                 135,             0.04857,            0.020753,           0.0041549,             0.64539,              0.8509,             0.77456,             0.30036,            0.052439,            0.017869,           0.0026275,           0.0026802,           0.0026802,             0.04838
                 136,            0.055626,            0.022786,           0.0037615,             0.70449,             0.89085,             0.82853,             0.35637,            0.045254,            0.017925,           0.0026657,           0.0026693,           0.0026693,            0.047969
                 137,            0.043769,            0.031945,           0.0031791,             0.77532,             0.91407,             0.89311,             0.43569,            0.041481,            0.017546,           0.0026067,            0.002658,            0.002658,            0.047558
                 138,            0.054286,            0.025851,           0.0033145,             0.51967,             0.74663,             0.63146,             0.22764,            0.066987,            0.017884,           0.0026482,           0.0026463,           0.0026463,            0.047146
                 139,            0.070851,            0.024441,           0.0035726,             0.46931,              0.8454,               0.672,              0.2904,            0.058319,            0.017422,           0.0027097,           0.0026342,           0.0026342,            0.046734
                 140,            0.055037,            0.023703,           0.0035952,             0.69714,             0.79775,             0.81314,             0.38186,            0.044228,            0.017919,           0.0027418,           0.0026218,           0.0026218,            0.046322
                 141,            0.050613,            0.025736,           0.0032964,             0.77887,             0.83551,             0.87327,              0.4008,            0.046381,            0.017514,           0.0027415,           0.0026089,           0.0026089,            0.045909
                 142,            0.049472,            0.021626,           0.0034537,             0.78225,             0.95875,             0.90224,             0.44619,            0.043197,            0.017434,           0.0027306,           0.0025957,           0.0025957,            0.045496
                 143,            0.046672,            0.028031,           0.0042296,             0.90793,             0.97012,             0.95991,              0.5056,            0.039994,            0.017314,           0.0027845,           0.0025822,           0.0025822,            0.045082
                 144,            0.052327,            0.027315,           0.0040186,             0.56619,             0.88096,             0.76407,             0.27997,            0.057056,            0.017394,           0.0028058,           0.0025683,           0.0025683,            0.044668
                 145,            0.056152,            0.024785,           0.0035311,             0.80555,             0.90986,             0.92184,             0.43786,            0.042016,            0.017461,           0.0028264,           0.0025541,           0.0025541,            0.044254
                 146,            0.045606,            0.027967,            0.003606,             0.83901,             0.91671,             0.94621,             0.48906,            0.041056,            0.017355,           0.0028067,           0.0025395,           0.0025395,            0.043839
                 147,            0.050376,            0.026357,           0.0058975,             0.61476,             0.79392,             0.71614,             0.21867,            0.054817,            0.016954,           0.0027319,           0.0025246,           0.0025246,            0.043425
                 148,            0.058724,            0.024051,           0.0047449,             0.86753,             0.84764,             0.88834,             0.37322,            0.046702,            0.016995,           0.0027146,           0.0025094,           0.0025094,            0.043009
                 149,            0.044934,            0.022971,           0.0033747,             0.82821,             0.94482,             0.93951,             0.42995,            0.042258,            0.017405,           0.0027189,           0.0024938,           0.0024938,            0.042594
                 150,            0.053453,            0.028034,           0.0039571,             0.71841,             0.81819,             0.78671,             0.28774,            0.052724,            0.017212,           0.0026554,            0.002478,            0.002478,            0.042178
                 151,            0.054545,            0.032783,           0.0029923,             0.82171,             0.92223,             0.89552,             0.39293,            0.045239,            0.017203,           0.0026915,           0.0024618,           0.0024618,            0.041762
                 152,            0.047209,            0.021864,           0.0036492,                0.86,             0.90033,              0.9372,             0.42639,            0.038489,            0.017372,            0.002689,           0.0024454,           0.0024454,            0.041345
                 153,            0.048784,            0.027068,           0.0040457,              0.8031,             0.88547,              0.9041,             0.44999,            0.043055,            0.017103,           0.0026062,           0.0024287,           0.0024287,            0.040929
                 154,            0.048661,            0.027065,           0.0031948,             0.91783,             0.91504,             0.94991,             0.50511,            0.037547,            0.017093,            0.002589,           0.0024117,           0.0024117,            0.040512
                 155,            0.042207,            0.022374,           0.0036614,             0.94151,             0.92024,             0.96137,             0.51035,            0.040338,            0.016901,           0.0025294,           0.0023945,           0.0023945,            0.040094
                 156,            0.050093,            0.030066,           0.0040184,             0.74825,             0.82492,              0.8207,             0.37592,             0.04542,            0.016932,           0.0025254,            0.002377,            0.002377,            0.039677
                 157,            0.047074,            0.025598,           0.0031479,             0.83452,             0.87392,             0.91377,             0.46627,            0.041234,            0.016903,           0.0025506,           0.0023592,           0.0023592,            0.039259
